Entity,Code,Year,"Number of eggs from hens in organic, free-range farms","Number of eggs from hens in non-organic, free-range farms",Number of eggs from hens in barns,Number of eggs from hens in (enriched) cages
United Kingdom,GBR,2006,432000000,2352000000,444000000,5424000000
United Kingdom,GBR,2007,492000000,2412000000,336000000,5232000000
United Kingdom,GBR,2008,492000000,2880000000,336000000,5184000000
United Kingdom,GBR,2009,360000000,3288000000,372000000,4836000000
United Kingdom,GBR,2010,336000000,4056000000,480000000,4872000000
United Kingdom,GBR,2011,300000000,4272000000,384000000,4728000000
United Kingdom,GBR,2012,240000000,4212000000,336000000,4536000000
United Kingdom,GBR,2013,216000000,4248000000,324000000,4896000000
United Kingdom,GBR,2014,228000000,4176000000,276000000,5076000000
United Kingdom,GBR,2015,240000000,4428000000,240000000,5112000000
United Kingdom,GBR,2016,252000000,4728000000,228000000,5172000000
United Kingdom,GBR,2017,252000000,5220000000,132000000,5184000000
United Kingdom,GBR,2018,276000000,5760000000,156000000,4944000000
United Kingdom,GBR,2019,360000000,5988000000,216000000,4824000000
United Kingdom,GBR,2020,392438600,6032604700,277405500,4545693700
United Kingdom,GBR,2021,432072700,6674919000,203389140,4009031700
United Kingdom,GBR,2022,384532480,6408506000,711348500,2927720000
United Kingdom,GBR,1996,,840000000,168000000,7308000000
United Kingdom,GBR,1997,,1044000000,300000000,7476000000
United Kingdom,GBR,1998,,1332000000,480000000,7020000000
United Kingdom,GBR,1999,,1488000000,612000000,6276000000
United Kingdom,GBR,2000,,1656000000,600000000,5832000000
United Kingdom,GBR,2001,,1956000000,588000000,6072000000
United Kingdom,GBR,2002,,2040000000,588000000,5928000000
United Kingdom,GBR,2003,,2040000000,540000000,5844000000
United Kingdom,GBR,2004,,2424000000,636000000,5832000000
United Kingdom,GBR,2005,,2688000000,564000000,5604000000